cluster_id,count,top_sw_l1,top_sw_l1_pct,sw_l1_entropy,top_industry,top_industry_pct,avg_pct_chg,std_pct_chg,avg_roe,std_roe,avg_pe_ttm,std_pe_ttm,avg_pb,std_pb,avg_total_mv,std_total_mv,avg_turnover_rate,std_turnover_rate,avg_Size,avg_Size_sw_neutral,avg_LogSize_sw_neutral,avg_NonlinearSize,avg_NonlinearSize_sw_neutral,avg_Value,avg_Value_sw_neutral,avg_Momentum,avg_Momentum_sw_neutral,avg_ShortReversal,avg_ShortReversal_sw_neutral,avg_Volatility,avg_Volatility_sw_neutral,avg_Liquidity,avg_Liquidity_sw_neutral,avg_Profitability,avg_Profitability_sw_neutral,avg_Growth,avg_Growth_sw_neutral,avg_Leverage,avg_Leverage_sw_neutral,avg_EarningsQuality,avg_EarningsQuality_sw_neutral,prototype_stocks
21,149,机械设备,0.12080536912751678,2.8756980872727747,电气设备,0.09395973154362416,-1.46312415599823,2.79386305809021,3.4552550315856934,8.272795677185059,105.80386352539062,184.80203247070312,4.379767894744873,4.196699142456055,2024726.9357508381,4009145.6195878107,4.1658409659814515,4.315986075132739,0.034471672028303146,0.0341726690530777,0.010400041937828064,0.034471672028303146,0.0341726690530777,0.051462020725011826,0.032071199268102646,,,,,,,0.055643703788518906,0.03777041286230087,-0.05293019488453865,-0.02428499050438404,0.01742372289299965,-0.006939190439879894,0.08085954189300537,0.07551988214254379,,,"688502.SH,300953.SZ,688629.SH"
22,208,电子,0.1346153846153846,3.00796597524282,元器件,0.08653846153846154,-1.3492023944854736,2.6900064945220947,3.5170633792877197,9.202081680297852,93.193359375,154.0972442626953,4.64707612991333,5.558715343475342,1732514.333317307,3285173.6820912426,3.6193341523236953,3.5678288465135037,-0.04353474825620651,-0.055839087814092636,-0.029189182445406914,-0.04353474825620651,-0.055839087814092636,-0.01643855683505535,-0.027375753968954086,,,,,,,-0.04546666890382767,-0.09071500599384308,-0.007961113005876541,0.02150290086865425,0.039618831127882004,0.03198618441820145,-0.08609874546527863,-0.08045618236064911,,,"300757.SZ,688809.SH,688205.SH"
23,94,医药生物,0.13829787234042554,2.9119350873709218,化工原料,0.06382978723404255,-1.4932255744934082,2.72607159614563,4.222434997558594,9.362013816833496,100.30780792236328,167.34658813476562,4.883100509643555,6.134234428405762,2469349.4753856375,4697666.822927735,3.1132723533726754,2.8501450090587173,0.1531640887260437,0.0760406106710434,0.09066455811262131,0.1531640887260437,0.0760406106710434,0.03501526266336441,0.04140012711286545,,,,,,,-0.18541795015335083,-0.12958602607250214,0.17276804149150848,0.12601298093795776,0.20102910697460175,0.18041174113750458,-0.2528623640537262,-0.2956201732158661,,,"300394.SZ,688123.SH,688110.SH"
24,84,医药生物,0.14285714285714285,2.8570145461969263,化学制药,0.07142857142857142,-1.4601057767868042,2.721747875213623,3.345303773880005,10.837199211120605,84.45616149902344,108.83084869384766,4.8161773681640625,5.497427940368652,2067119.453340773,3913613.896768166,4.053935393918128,4.31819260347177,0.04578838124871254,0.04611067473888397,0.03213854506611824,0.04578838124871254,0.04611067473888397,-0.059772081673145294,-0.10200437158346176,,,,,,,0.028010666370391846,0.042942408472299576,0.1827077567577362,0.11011654883623123,0.10164811462163925,0.11641329526901245,-0.0024656362365931273,0.042621713131666183,,,"603444.SH,688807.SH,688372.SH"
25,2,电力设备,0.5,0.6931471803599453,电气设备,0.5,-2.116650104522705,0.8197489380836487,7.152750015258789,2.678591012954712,43.6609992980957,42.04683303833008,4.334949970245361,3.694986581802368,541233.484375,90219.15759024497,4.952100157737732,5.090320526493794,-0.3615482449531555,-0.37933218479156494,-0.3651864230632782,-0.3615482449531555,-0.37933218479156494,-0.33647269010543823,-0.2891616225242615,,,,,,,0.23722317814826965,0.03741002082824707,-0.15220440924167633,0.23063285648822784,-0.09044788777828217,-0.07620063424110413,0.8597679138183594,0.35899609327316284,,,"002112.SZ,002116.SZ"
26,39,公用事业,0.1282051282051282,2.826108054774833,通信设备,0.07692307692307693,0.7696409821510315,3.4627678394317627,3.511502504348755,10.631084442138672,113.25465393066406,236.42266845703125,4.427138805389404,5.274413585662842,3288052.707195511,5992158.007218778,3.5182974216265555,3.517999749976723,0.3717176616191864,0.3813050389289856,0.41269639134407043,0.3717176616191864,0.3813050389289856,0.09364151209592819,0.17603249847888947,,,,,,,0.04039463400840759,0.022136984393000603,-0.13327935338020325,-0.1198936477303505,-0.12652502954006195,-0.16071268916130066,0.2859230637550354,0.05916906148195267,,,"300454.SZ,601138.SH,001267.SZ"
27,217,医药生物,0.1152073732718894,3.1237889059208457,电气设备,0.06451612903225806,-1.2720316648483276,2.6436116695404053,2.8724427223205566,10.706033706665039,103.1148681640625,181.5853729248047,4.742043495178223,5.328268051147461,2098428.359579492,4369677.039311072,3.7570025685580646,3.5265723411404344,0.05414634197950363,0.042501188814640045,0.0381578728556633,0.05414634197950363,0.042501188814640045,0.04285496100783348,0.02236122079193592,,,,,,,-0.02514035440981388,-0.026474473997950554,0.03386245667934418,0.0376223549246788,0.07716267555952072,0.07980410009622574,0.0021120677702128887,0.01300419308245182,,,"300476.SZ,300620.SZ,605117.SH"
28,1,传媒,1.0,-1.000000082690371e-10,影视音像,1.0,-5.0991997718811035,,-1.937600016593933,,308.34381103515625,,4.8277997970581055,,310544.96875,,8.26140022277832,,-0.4231307804584503,-0.6242870092391968,-0.6289185285568237,-0.4231307804584503,-0.6242870092391968,1.2461321353912354,2.3794782161712646,,,,,,,0.8885968327522278,1.0312566757202148,-0.5630753636360168,-0.4376208484172821,-0.610831618309021,-0.464981347322464,-0.2962282598018646,-0.06679077446460724,,,920021.BJ
29,12,基础化工,0.25,2.0947290466276485,化工原料,0.16666666666666666,-0.5679749846458435,2.2787303924560547,5.52832555770874,6.685611724853516,50.0653190612793,48.76551818847656,4.265166759490967,4.179060935974121,1123910.828125,976384.4967346024,2.687724987665812,2.587656231180379,-0.20600204169750214,-0.21744157373905182,-0.2059301882982254,-0.20600204169750214,-0.21744157373905182,-0.2802126407623291,-0.20234930515289307,,,,,,,-0.1698896884918213,-0.17322157323360443,0.17577195167541504,0.11571276187896729,-0.014782826416194439,-0.04383869096636772,-0.14387476444244385,-0.04776667430996895,,,"002901.SZ,603655.SH,002895.SZ"
30,30,基础化工,0.2,2.436002927592133,化工原料,0.1,-0.49932995438575745,3.226311445236206,4.791378974914551,10.584131240844727,68.0436782836914,52.31293487548828,3.7319631576538086,2.7447428703308105,2007571.8558124977,4810314.856004965,3.607673293352127,3.3392739089433765,0.029892107471823692,0.12107832729816437,0.11785075813531876,0.029892107471823692,0.12107832729816437,-0.17318038642406464,-0.16132310032844543,,,,,,,-0.059832725673913956,-0.030369015410542488,0.07939829677343369,0.07805071771144867,0.34046122431755066,0.3388165533542633,-0.0991949662566185,-0.07835278660058975,,,"603259.SH,001339.SZ,301389.SZ"
