record_id,stock_code,stock_name,asof_date,cluster_id,cluster_distance
cacb727c862a9e9c230aa4a3,000737.SZ,北方铜业,2024-06-15,2,0.995247483253479
00e29fff2f869a5c43d66931,001696.SZ,宗申动力,2024-06-30,4,1.038616418838501
8d2e6f324495729960bac983,000725.SZ,京东方Ａ,2024-06-15,4,0.8303330540657043
c2f2c04f429177b9f6ddb3db,000738.SZ,航发控制,2024-06-30,4,1.0222244262695312
d36c90c02c99f43d46b779e3,000739.SZ,普洛药业,2024-06-15,3,0.7791836857795715
0b243241f84352f961724476,000750.SZ,国海证券,2024-06-30,1,0.9526787400245667
8be54bf35472d2445905f20a,000751.SZ,锌业股份,2024-06-30,2,0.984803318977356
87dfb3357277ba190d61f81a,000752.SZ,ST西发,2024-06-30,1,1.0246939659118652
aa36c8aade29156fe9b408e3,000753.SZ,漳州发展,2024-06-30,1,0.9552576541900635
4566e7dc02ca76417a0d6cd7,000755.SZ,山西高速,2024-06-15,1,0.9696006178855896
01e290aba409c6013f9e0c1a,000756.SZ,新华制药,2024-06-15,3,0.789637565612793
17c13e78e7fee159dbf5f716,000757.SZ,浩物股份,2024-06-30,1,0.9866988062858582
a7977e1964b4acc8ff7f14ce,000758.SZ,中色股份,2024-06-30,2,0.9991075992584229
9bf85d6d6fd1c86851bec07c,000759.SZ,中百集团,2024-06-30,1,0.9932618737220764
66429c73085ab5dadeac5f19,000761.SZ,本钢板材,2024-06-30,2,0.9631065130233765
e061454acf7f8600317fd0f8,000762.SZ,西藏矿业,2024-06-15,2,0.9905833601951599
e2eaafcb648d44f6694f16b2,000766.SZ,通化金马,2024-06-15,3,0.8723970055580139
c14c3b1b6dc0efcd68789d1c,000767.SZ,晋控电力,2024-06-15,1,0.9928811192512512
df7dca466e83506bf3ba2c38,000768.SZ,中航西飞,2024-06-30,2,1.026291012763977
2c7e1f4ad09e08e4dea7dbb5,000776.SZ,广发证券,2024-06-30,1,0.9257287383079529
91761319ad15ecc457d5eed0,000777.SZ,中核科技,2024-06-15,4,0.9910150170326233
6e9c705b02e54c9965a3695d,000778.SZ,新兴铸管,2024-06-30,2,0.970582127571106
869863ce81cb60d5950c6900,000779.SZ,甘咨询,2024-06-15,1,0.9459004998207092
717a948484d31ca09dc75082,000782.SZ,恒申新材,2024-06-15,1,0.9519423842430115
a4b0f4c58fc516d471ba1f37,000783.SZ,长江证券,2024-06-15,1,0.9338666200637817
bfcbe9d60eb7c94e7673d7b9,000785.SZ,居然智家,2024-06-30,1,0.9529412388801575
85bd4a5ebe55062f65538ecb,000786.SZ,北新建材,2024-06-30,2,0.9840247631072998
95f4d5ca3f98ad5143069101,000788.SZ,北大医药,2024-06-15,3,0.8408335447311401
a1108e15f5c3c0af586baf4b,000789.SZ,万年青,2024-06-30,2,0.9893210530281067
aa685efff02fe657d96c2a17,000790.SZ,华神科技,2024-06-30,3,0.8980113863945007
beaae5e5ac7f1a5e27de8ac0,000791.SZ,甘肃能源,2024-06-30,1,0.9804576635360718
9495e61ee954ec856152e704,000792.SZ,盐湖股份,2024-06-15,2,1.0071169137954712
d232a42e2ba1b396ac37acad,000793.SZ,*ST华闻,2024-06-30,1,0.9589675068855286
f179380d19ec3494a8eebeda,000795.SZ,英洛华,2024-06-15,2,0.9981456398963928
d5972af57d7ba3de0dacb4a7,000796.SZ,凯撒旅业,2024-06-30,1,0.9864740967750549
9c8269366cce60321e86ba2f,000797.SZ,中国武夷,2024-06-15,1,0.9537062644958496
68330ad7a55986a3be33a79f,000798.SZ,中水渔业,2024-06-15,1,1.0156879425048828
22ca0e55236c282dd0ec9c50,000799.SZ,酒鬼酒,2024-06-15,1,0.9935609698295593
1b2bbaa5cc70acae478fae4c,000800.SZ,一汽解放,2024-06-30,1,1.022615671157837
d2010e305d7be1d6d98e9c19,000801.SZ,四川九洲,2024-06-30,1,0.9902966022491455
5037048bb7986b141c43ba09,000802.SZ,北京文化,2024-06-15,1,0.9518360495567322
